[0.9999911189079285, -0.004212202969938517, 0.9490148425102234, 0.31523144245147705, -0.6842483282089233, 1.6794155836105347];[0.9904127717018127, -0.13813959062099457, 0.8029590249061584, 0.5960342288017273, -0.6248903870582581, 1.4303317070007324];2
[0.9904127717018127, -0.13813959062099457, 0.8029590249061584, 0.5960342288017273, -0.6248903870582581, 1.4303317070007324];[0.9760534763336182, -0.21753062307834625, 0.6899452209472656, 0.723861575126648, -0.16990146040916443, 0.25833043456077576];0
[0.9760534763336182, -0.21753062307834625, 0.6899452209472656, 0.723861575126648, -0.16990146040916443, 0.25833043456077576];[0.9792307019233704, -0.20274923741817474, 0.7390886545181274, 0.6736081838607788, 0.320116251707077, -0.9561157822608948];0
[0.9792307019233704, -0.20274923741817474, 0.7390886545181274, 0.6736081838607788, 0.320116251707077, -0.9561157822608948];[0.9942737221717834, -0.10686305910348892, 0.8929243087768555, 0.45020681619644165, 0.6303090453147888, -1.7214003801345825];1
[0.9942737221717834, -0.10686305910348892, 0.8929243087768555, 0.45020681619644165, 0.6303090453147888, -1.7214003801345825];[0.9988404512405396, 0.04814330115914345, 0.9990388751029968, 0.04383334144949913, 0.8764309883117676, -2.413315773010254];0
[0.9988404512405396, 0.04814330115914345, 0.9990388751029968, 0.04383334144949913, 0.8764309883117676, -2.413315773010254];[0.9759859442710876, 0.2178334891796112, 0.9015060663223267, -0.43276649713516235, 0.7793540954589844, -2.3759593963623047];0
[0.9759859442710876, 0.2178334891796112, 0.9015060663223267, -0.43276649713516235, 0.7793540954589844, -2.3759593963623047];[0.9465588331222534, 0.32253125309944153, 0.6724097728729248, -0.7401791214942932, 0.28624027967453003, -1.4287337064743042];1
[0.9465588331222534, 0.32253125309944153, 0.6724097728729248, -0.7401791214942932, 0.28624027967453003, -1.4287337064743042];[0.9490467309951782, 0.3151353895664215, 0.557328999042511, -0.830291748046875, -0.3544357120990753, -0.034126024693250656];2
[0.9490467309951782, 0.3151353895664215, 0.557328999042511, -0.830291748046875, -0.3544357120990753, -0.034126024693250656];[0.98133784532547, 0.19229166209697723, 0.659620463848114, -0.7515988349914551, -0.893517017364502, 1.3065651655197144];2
[0.98133784532547, 0.19229166209697723, 0.659620463848114, -0.7515988349914551, -0.893517017364502, 1.3065651655197144];[0.9999212026596069, -0.012555195949971676, 0.8760780096054077, -0.48216933012008667, -1.1254225969314575, 2.1004984378814697];1
[0.9999212026596069, -0.012555195949971676, 0.8760780096054077, -0.48216933012008667, -1.1254225969314575, 2.1004984378814697];[0.9724624752998352, -0.23305949568748474, 0.9987789988517761, -0.049401432275772095, -1.0409042835235596, 2.318352460861206];1
[0.9724624752998352, -0.23305949568748474, 0.9987789988517761, -0.049401432275772095, -1.0409042835235596, 2.318352460861206];[0.9195318818092346, -0.39301544427871704, 0.9308890700340271, 0.36530202627182007, -0.5971305966377258, 1.815165400505066];1
[0.9195318818092346, -0.39301544427871704, 0.9308890700340271, 0.36530202627182007, -0.5971305966377258, 1.815165400505066];[0.8957695364952087, -0.4445188045501709, 0.7973706722259521, 0.6034898161888123, 0.04360314458608627, 0.884763777256012];1
[0.8957695364952087, -0.4445188045501709, 0.7973706722259521, 0.6034898161888123, 0.04360314458608627, 0.884763777256012];[0.9260676503181458, -0.37735751271247864, 0.7515041828155518, 0.6597283482551575, 0.6779863238334656, -0.15893124043941498];1
[0.9260676503181458, -0.37735751271247864, 0.7515041828155518, 0.6597283482551575, 0.6779863238334656, -0.15893124043941498];[0.982321560382843, -0.1872013956308365, 0.8479887247085571, 0.5300142765045166, 1.2686885595321655, -1.4221242666244507];0
[0.982321560382843, -0.1872013956308365, 0.8479887247085571, 0.5300142765045166, 1.2686885595321655, -1.4221242666244507];[0.9972879886627197, 0.07359775900840759, 0.9699352383613586, 0.24336309731006622, 1.289302110671997, -1.6097261905670166];2
[0.9972879886627197, 0.07359775900840759, 0.9699352383613586, 0.24336309731006622, 1.289302110671997, -1.6097261905670166];[0.9508472681045532, 0.3096601963043213, 0.9970221519470215, -0.07711559534072876, 1.063490629196167, -1.5217955112457275];1
[0.9508472681045532, 0.3096601963043213, 0.9970221519470215, -0.07711559534072876, 1.063490629196167, -1.5217955112457275];[0.8817631602287292, 0.47169238328933716, 0.9353265166282654, -0.3537856340408325, 0.6587849259376526, -1.2521748542785645];0
[0.8817631602287292, 0.47169238328933716, 0.9353265166282654, -0.3537856340408325, 0.6587849259376526, -1.2521748542785645];[0.8507851362228394, 0.5255136489868164, 0.8659409284591675, -0.5001463294029236, -0.05027901381254196, -0.34458521008491516];1
[0.8507851362228394, 0.5255136489868164, 0.8659409284591675, -0.5001463294029236, -0.05027901381254196, -0.34458521008491516];[0.8852296471595764, 0.4651542007923126, 0.8634474277496338, -0.5044388771057129, -0.632827639579773, 0.2908640503883362];0
[0.8852296471595764, 0.4651542007923126, 0.8634474277496338, -0.5044388771057129, -0.632827639579773, 0.2908640503883362];[0.9598472118377686, 0.28052324056625366, 0.9399629235267639, -0.341276615858078, -1.3219962120056152, 1.4701039791107178];2
[0.9598472118377686, 0.28052324056625366, 0.9399629235267639, -0.341276615858078, -1.3219962120056152, 1.4701039791107178];[0.9997633099555969, -0.02175644226372242, 0.9996349811553955, 0.027017291635274887, -1.6650710105895996, 2.1639645099639893];2
[0.9997633099555969, -0.02175644226372242, 0.9996349811553955, 0.027017291635274887, -1.6650710105895996, 2.1639645099639893];[0.9402902722358704, -0.34037360548973083, 0.8967453241348267, 0.4425469934940338, -1.5105321407318115, 2.0158557891845703];2
[0.9402902722358704, -0.34037360548973083, 0.8967453241348267, 0.4425469934940338, -1.5105321407318115, 2.0158557891845703];[0.8261707425117493, -0.5634198188781738, 0.703163743019104, 0.711027979850769, -0.953454852104187, 1.2473429441452026];2
[0.8261707425117493, -0.5634198188781738, 0.703163743019104, 0.711027979850769, -0.953454852104187, 1.2473429441452026];[0.7694727182388306, -0.6386796832084656, 0.6338788866996765, 0.7734323143959045, 0.023676181212067604, -0.3178771138191223];0
[0.7694727182388306, -0.6386796832084656, 0.6338788866996765, 0.7734323143959045, 0.023676181212067604, -0.3178771138191223];[0.8185602426528931, -0.574420690536499, 0.7474775314331055, 0.6642870903015137, 0.7718209624290466, -1.2428302764892578];2
[0.8185602426528931, -0.574420690536499, 0.7474775314331055, 0.6642870903015137, 0.7718209624290466, -1.2428302764892578];[0.9230178594589233, -0.3847571015357971, 0.9209063053131104, 0.3897840678691864, 1.3539625406265259, -1.9566223621368408];2
[0.9230178594589233, -0.3847571015357971, 0.9209063053131104, 0.3897840678691864, 1.3539625406265259, -1.9566223621368408];[0.9954702258110046, -0.09507403522729874, 0.9998664259910583, -0.016345612704753876, 1.5689613819122314, -2.084453821182251];2
[0.9954702258110046, -0.09507403522729874, 0.9998664259910583, -0.016345612704753876, 1.5689613819122314, -2.084453821182251];[0.9799916744232178, 0.19903859496116638, 0.9293444752693176, -0.3692137897014618, 1.3167157173156738, -1.421943187713623];2
[0.9799916744232178, 0.19903859496116638, 0.9293444752693176, -0.3692137897014618, 1.3167157173156738, -1.421943187713623];[0.9128751754760742, 0.40823882818222046, 0.8336612582206726, -0.552276074886322, 0.8399259448051453, -0.5948949456214905];1
[0.9128751754760742, 0.40823882818222046, 0.8336612582206726, -0.552276074886322, 0.8399259448051453, -0.5948949456214905];[0.8662487864494324, 0.4996128976345062, 0.8228901028633118, -0.5682005286216736, 0.16814352571964264, 0.4107365310192108];1
[0.8662487864494324, 0.4996128976345062, 0.8228901028633118, -0.5682005286216736, 0.16814352571964264, 0.4107365310192108];[0.8785226941108704, 0.4777006208896637, 0.8976872563362122, -0.44063320755958557, -0.4113578796386719, 1.0463346242904663];0
[0.8785226941108704, 0.4777006208896637, 0.8976872563362122, -0.44063320755958557, -0.4113578796386719, 1.0463346242904663];[0.9426136016845703, 0.3338856101036072, 0.9911007285118103, -0.13311384618282318, -1.127943992614746, 2.1150248050689697];2
[0.9426136016845703, 0.3338856101036072, 0.9911007285118103, -0.13311384618282318, -1.127943992614746, 2.1150248050689697];[0.9965032339096069, 0.08355443924665451, 0.9518505334854126, 0.30656251311302185, -1.371225357055664, 2.2077252864837646];1
[0.9965032339096069, 0.08355443924665451, 0.9518505334854126, 0.30656251311302185, -1.371225357055664, 2.2077252864837646];[0.9859873056411743, -0.16682040691375732, 0.7858537435531616, 0.6184123754501343, -1.0877772569656372, 1.260825276374817];0
[0.9859873056411743, -0.16682040691375732, 0.7858537435531616, 0.6184123754501343, -1.0877772569656372, 1.260825276374817];[0.9447516798973083, -0.327786922454834, 0.700636088848114, 0.7135187983512878, -0.5432897210121155, -0.010729040950536728];0
[0.9447516798973083, -0.327786922454834, 0.700636088848114, 0.7135187983512878, -0.5432897210121155, -0.010729040950536728];[0.9214076995849609, -0.3885972797870636, 0.7519994378089905, 0.659163773059845, -0.09567921608686447, -0.7354374527931213];2
[0.9214076995849609, -0.3885972797870636, 0.7519994378089905, 0.659163773059845, -0.09567921608686447, -0.7354374527931213];[0.9364151358604431, -0.35089409351348877, 0.8898261189460754, 0.45629972219467163, 0.49204909801483154, -1.6912708282470703];1
[0.9364151358604431, -0.35089409351348877, 0.8898261189460754, 0.45629972219467163, 0.49204909801483154, -1.6912708282470703];[0.9746173024177551, -0.22387747466564178, 0.9949209094047546, 0.10065990686416626, 0.7946851849555969, -1.9533754587173462];2
[0.9746173024177551, -0.22387747466564178, 0.9949209094047546, 0.10065990686416626, 0.7946851849555969, -1.9533754587173462];[0.999423086643219, -0.03396391496062279, 0.9442843198776245, -0.3291308879852295, 1.0655882358551025, -2.291578769683838];0
[0.999423086643219, -0.03396391496062279, 0.9442843198776245, -0.3291308879852295, 1.0655882358551025, -2.291578769683838];[0.984581470489502, 0.17492671310901642, 0.719881534576416, -0.6940969228744507, 0.9810702204704285, -1.9300079345703125];0
[0.984581470489502, 0.17492671310901642, 0.719881534576416, -0.6940969228744507, 0.9810702204704285, -1.9300079345703125];[0.9421023726463318, 0.3353254497051239, 0.471760630607605, -0.8817266821861267, 0.6512719392776489, -1.1519569158554077];0
[0.9421023726463318, 0.3353254497051239, 0.471760630607605, -0.8817266821861267, 0.6512719392776489, -1.1519569158554077];[0.9140299558639526, 0.40564674139022827, 0.371143639087677, -0.9285754561424255, 0.09545227140188217, 0.0488261841237545];1
[0.9140299558639526, 0.40564674139022827, 0.371143639087677, -0.9285754561424255, 0.09545227140188217, 0.0488261841237545];[0.9254642724990845, 0.37883493304252625, 0.46498769521713257, -0.8853171467781067, -0.38426750898361206, 0.9791932702064514];0
[0.9254642724990845, 0.37883493304252625, 0.46498769521713257, -0.8853171467781067, -0.38426750898361206, 0.9791932702064514];[0.967231035232544, 0.25389793515205383, 0.714439868927002, -0.6996968388557434, -0.9161214232444763, 2.115901231765747];1
[0.967231035232544, 0.25389793515205383, 0.714439868927002, -0.6996968388557434, -0.9161214232444763, 2.115901231765747];[0.999369740486145, 0.03549770265817642, 0.9653189778327942, -0.26107338070869446, -1.2410235404968262, 2.8868136405944824];1
[0.999369740486145, 0.03549770265817642, 0.9653189778327942, -0.26107338070869446, -1.2410235404968262, 2.8868136405944824];[0.9809193015098572, -0.19441545009613037, 0.9600924849510193, 0.2796827256679535, -0.9966019988059998, 2.4378483295440674];0
[0.9809193015098572, -0.19441545009613037, 0.9600924849510193, 0.2796827256679535, -0.9966019988059998, 2.4378483295440674];[0.9385924935340881, -0.3450276553630829, 0.7670072317123413, 0.641638457775116, -0.5316848754882812, 1.6177729368209839];1
[0.9385924935340881, -0.3450276553630829, 0.7670072317123413, 0.641638457775116, -0.5316848754882812, 1.6177729368209839];[0.9165770411491394, -0.39985817670822144, 0.5869301557540894, 0.8096375465393066, -0.04938342794775963, 0.8246658444404602];2
[0.9165770411491394, -0.39985817670822144, 0.5869301557540894, 0.8096375465393066, -0.04938342794775963, 0.8246658444404602];[0.9353510737419128, -0.35372069478034973, 0.5465421080589294, 0.8374316096305847, 0.5343532562255859, -0.3303045332431793];1
[0.9353510737419128, -0.35372069478034973, 0.5465421080589294, 0.8374316096305847, 0.5343532562255859, -0.3303045332431793];[0.9788510203361511, -0.2045743614435196, 0.6845253705978394, 0.7289890050888062, 0.9923783540725708, -1.3994722366333008];1
[0.9788510203361511, -0.2045743614435196, 0.6845253705978394, 0.7289890050888062, 0.9923783540725708, -1.3994722366333008];[0.9999659657478333, 0.008251285180449486, 0.8851456642150879, 0.4653140902519226, 1.1032869815826416, -1.853383183479309];2
[0.9999659657478333, 0.008251285180449486, 0.8851456642150879, 0.4653140902519226, 1.1032869815826416, -1.853383183479309];[0.974465548992157, 0.2245369851589203, 0.9967674612998962, 0.0803409144282341, 1.0223608016967773, -2.075653314590454];1
[0.974465548992157, 0.2245369851589203, 0.9967674612998962, 0.0803409144282341, 1.0223608016967773, -2.075653314590454];[0.918283998966217, 0.39592230319976807, 0.9444440007209778, -0.32867228984832764, 0.7317453026771545, -1.9736195802688599];0
[0.918283998966217, 0.39592230319976807, 0.9444440007209778, -0.32867228984832764, 0.7317453026771545, -1.9736195802688599];[0.8824957609176636, 0.47032037377357483, 0.8011689782142639, -0.5984382033348083, 0.0744326189160347, -1.0458781719207764];1
[0.8824957609176636, 0.47032037377357483, 0.8011689782142639, -0.5984382033348083, 0.0744326189160347, -1.0458781719207764];[0.9017361998558044, 0.43228673934936523, 0.7145634889602661, -0.6995705962181091, -0.4935172498226166, -0.2749493718147278];0
[0.9017361998558044, 0.43228673934936523, 0.7145634889602661, -0.6995705962181091, -0.4935172498226166, -0.2749493718147278];[0.955420970916748, 0.295246958732605, 0.730238676071167, -0.6831921339035034, -0.9501705765724182, 0.48468852043151855];0
[0.955420970916748, 0.295246958732605, 0.730238676071167, -0.6831921339035034, -0.9501705765724182, 0.48468852043151855];[0.9965852499008179, 0.08257017284631729, 0.8285741806030273, -0.5598793029785156, -1.1740679740905762, 1.0434958934783936];0
[0.9965852499008179, 0.08257017284631729, 0.8285741806030273, -0.5598793029785156, -1.1740679740905762, 1.0434958934783936];[0.9889448881149292, -0.14828361570835114, 0.9351826906204224, -0.3541656732559204, -1.0879193544387817, 1.2018190622329712];0
[0.9889448881149292, -0.14828361570835114, 0.9351826906204224, -0.3541656732559204, -1.0879193544387817, 1.2018190622329712];[0.9366446137428284, -0.35028114914894104, 0.9969645738601685, -0.07785629481077194, -0.9537655711174011, 1.5578793287277222];2
[0.9366446137428284, -0.35028114914894104, 0.9969645738601685, -0.07785629481077194, -0.9537655711174011, 1.5578793287277222];[0.8720632195472717, -0.48939329385757446, 0.9742958545684814, 0.22527222335338593, -0.5429463386535645, 1.4206360578536987];2
